"PROVINCIA,C,50","CANTON,C,50","PARROQUIA,C,100","DISTRITO,C,250","CIRCUITO,C,250","NOMBRE,C,100","NIVEL,C,50","TIPOLOGIA,C,50","INSTITUCIO,C,50","X,N,19,11","Y,N,19,11"
LOS RIOS,MOCACHE,MOCACHE,QUEVEDO-MOCACHE,MOCACHE,AGUAS FRIAS,PRIMER NIVEL,CENTRO DE SALUD|CS,MSP,-79.47399555610,-1.29794146435
",GUAYAQUIL-CENTENARIO,ClÝnica Alcivar,SEGUNDO NIVEL,CLINICA PRIVADA|CL-P,RED COMPLEMENTARIA,-79.88936437640,-2.21475085040
LOS RIOS,MONTALVO,MONTALVO,BABAHOYO-BABA-MONTALVO,MONTALVO,LA CONSTANCIA,PRIMER NIVEL,CENTRO DE SALUD|CS,MSP,-79.26133388120,-1.91048836789
LOS RIOS,MONTALVO,MONTALVO,BABAHOYO-BABA-MONTALVO,MONTALVO,LA VITALIA,PRIMER NIVEL,PUESTO DE SALUD|PS,MSP,-79.26324777160,-1.84727945938
LOS RIOS,MONTALVO,MONTALVO,BABAHOYO-BABA-MONTALVO,MONTALVO,MONTALVO,PRIMER NIVEL,CENTRO DE SALUD|CS,MSP,-79.29009033040,-1.79272105391
LOS RIOS,MONTALVO,MONTALVO,BABAHOYO-BABA-MONTALVO,MONTALVO,24 DE MAYO,PRIMER NIVEL,CENTRO DE SALUD|CS,MSP,-79.40672429630,-1.84849998600
GUAYAS,GUAYAQUIL,GUAYAQUIL,GARCIA MORENO-LETAMENDI-AYACUCHO-OLMEDO-BOLIVAR-SUCRE-URDANETA-9 DE OCTUBRE-ROCAFUERTE-PEDRO CARBO-ROCA,GUAYAQUIL-9 DE OCTUBRE,ClÝnica Guayaquil,SEGUNDO NIVEL,CLINICA PRIVADA|CL-P,RED COMPLEMENTARIA,-79.87991748800,-2.18609677737
LOS RIOS,MONTALVO,MONTALVO,BABAHOYO-BABA-MONTALVO,MONTALVO,LA ESMERALDA,PRIMER NIVEL,CENTRO DE SALUD|CS,MSP,-79.27558704240,-1.70205921196
LOS RIOS,PUEBLOVIEJO,PUEBLOVIEJO,PUEBLO VIEJO-URDANETA,PUEBLOVIEJO,PUEBLO VIEJO,PRIMER NIVEL,CENTRO DE SALUD|CS,MSP,-79.53121903000,-1.55179391797
LOS RIOS,PUEBLOVIEJO,PUEBLOVIEJO,PUEBLO VIEJO-URDANETA,PUEBLOVIEJO,PUEBLO VIEJO NUEVO,PRIMER NIVEL,CENTRO DE SALUD|CS,MSP,-79.53132077270,-1.54760649694
LOS RIOS,PUEBLOVIEJO,PUERTO PECHICHE,PUEBLO VIEJO-URDANETA,PUERTO PECHICHE,PUERTO PECHICHE,PRIMER NIVEL,CENTRO DE SALUD|CS,MSP,-79.56164117570,-1.42584474435
LOS RIOS,PUEBLOVIEJO,SAN JUAN,PUEBLO VIEJO-URDANETA,SAN JUAN,NUEVO SAN JUAN,PRIMER NIVEL,CENTRO DE SALUD|CS,MSP,-79.55827603710,-1.63392643693
LOS RIOS,PUEBLOVIEJO,SAN JUAN,PUEBLO VIEJO-URDANETA,SAN JUAN,SAN JUAN,PRIMER NIVEL,CENTRO DE SALUD|CS,MSP,-79.56301774670,-1.62647728622
COTOPAXI,PANGUA,PINLLOPATA,PANGUA,PINLLOPATA,DISPENSARIO PINLLOPATA,PRIMER NIVEL,PUESTO DE SALUD|PS,IESS,-79.02771055000,-1.14285593700
LOS RIOS,QUEVEDO,QUEVEDO,QUEVEDO-MOCACHE,QUEVEDO,LA ISLA,PRIMER NIVEL,CENTRO DE SALUD|CS,MSP,-79.45892492170,-1.01781292850
GUAYAS,MILAGRO,MILAGRO,MILAGRO,MILAGRO,ClÝnica Santa InÚs,SEGUNDO NIVEL,CLINICA PRIVADA|CL-P,RED COMPLEMENTARIA,-79.59078159780,-2.12969493546
LOS RIOS,QUEVEDO,QUEVEDO,QUEVEDO-MOCACHE,QUEVEDO,NICOLAS INFANTE,PRIMER NIVEL,CENTRO DE SALUD|CS,MSP,-79.46168906810,-1.00553249846
LOS RIOS,QUEVEDO,QUEVEDO,QUEVEDO-MOCACHE,QUEVEDO,SANTA ROSA,PRIMER NIVEL,CENTRO DE SALUD|CS,MSP,-79.47073879620,-1.02053180249
LOS RIOS,QUEVEDO,QUEVEDO,QUEVEDO-MOCACHE,QUEVEDO,VENUS DEL RIO,PRIMER NIVEL,CENTRO DE SALUD|CS,MSP,-79.46925415770,-1.00591592795
GUAYAS,SALITRE (URBINA JADO),JUNQUILLAL,URBINA JADO,JUNQUILLAL,DISPENSARIO RINCËN GRANDE,PRIMER NIVEL,PUESTO DE SALUD|PS,IESS,-79.84709981600,-1.64759010116
GUAYAS,GUAYAQUIL,GUAYAQUIL,GARCIA MORENO-LETAMENDI-AYACUCHO-OLMEDO-BOLIVAR-SUCRE-URDANETA-9 DE OCTUBRE-ROCAFUERTE-PEDRO CARBO-ROCA,GUAYAQUIL- CHILE,ClÝnica Santa MarÝa,SEGUNDO NIVEL,CLINICA PRIVADA|CL-P,RED COMPLEMENTARIA,-79.88998169410,-2.20683652547
LOS RIOS,QUEVEDO,QUEVEDO,QUEVEDO-MOCACHE,QUEVEDO,GALO PLAZA,PRIMER NIVEL,CENTRO DE SALUD|CS,MSP,-79.46771073630,-1.02081976072
LOS RIOS,QUEVEDO,QUEVEDO,QUEVEDO-MOCACHE,QUEVEDO,C.A.A. QUEVEDO,PRIMER NIVEL,CENTRO DE SALUD|CS,IESS,-79.46530967030,-1.02399959981
LOS RIOS,QUEVEDO,QUEVEDO,QUEVEDO-MOCACHE,QUEVEDO,PROMEJORAS,PRIMER NIVEL,CENTRO DE SALUD|CS,MSP,-79.45445512270,-1.02683666060
LOS RIOS,QUEVEDO,QUEVEDO,QUEVEDO-MOCACHE,QUEVEDO,SAN CAMILO,PRIMER NIVEL,CENTRO DE SALUD|CS,MSP,-79.46358907280,-1.03456467918
GUAYAS,GUAYAQUIL,GUAYAQUIL,GARCIA MORENO-LETAMENDI-AYACUCHO-OLMEDO-BOLIVAR-SUCRE-URDANETA-9 DE OCTUBRE-ROCAFUERTE-PEDRO CARBO-ROCA,GUAYAQUIL-GARAY,ClÝnica Surhospital,SEGUNDO NIVEL,CLINICA PRIVADA|CL-P,RED COMPLEMENTARIA,-79.89485268650,-2.19802986598
GUAYAS,SAN JACINTO DE YAGUACHI,YAGUACHI VIEJO (CONE),SAN JACINTO DE YAGUACHI,YAGUACHI VIEJO (CONE),CONE,PRIMER NIVEL,CENTRO DE SALUD|CS,MSP,-79.64771055050,-2.16784232908
LOS RIOS,QUEVEDO,QUEVEDO,QUEVEDO-MOCACHE,QUEVEDO,VIVA ALFARO,PRIMER NIVEL,CENTRO DE SALUD|CS,MSP,-79.46740300510,-1.04426173369
LOS RIOS,QUEVEDO,QUEVEDO,QUEVEDO-MOCACHE,QUEVEDO,7 DE OCTUBRE,PRIMER NIVEL,CENTRO DE SALUD|CS,MSP,-79.47327750260,-1.04777370372
LOS RIOS,QUEVEDO,QUEVEDO,QUEVEDO-MOCACHE,QUEVEDO,SAGRADO CORAZON DE JESUS,SEGUNDO NIVEL,HOSPITAL BASICO|HB,MSP,-79.47226732180,-1.03713740739
GUAYAS,GUAYAQUIL,GUAYAQUIL,GARCIA MORENO-LETAMENDI-AYACUCHO-OLMEDO-BOLIVAR-SUCRE-URDANETA-9 DE OCTUBRE-ROCAFUERTE-PEDRO CARBO-ROCA,GUAYAQUIL-GARAY,Funcrisa,SEGUNDO NIVEL,CLINICA PRIVADA|CL-P,RED COMPLEMENTARIA,-79.90024593770,-2.20040379325
LOS RIOS,QUEVEDO,SAN CARLOS,QUEVEDO-MOCACHE,SAN CARLOS,SAN CARLOS,PRIMER NIVEL,CENTRO DE SALUD|CS,MSP,-79.43685148940,-1.11983545699
LOS RIOS,QUEVEDO,LA ESPERANZA,QUEVEDO-MOCACHE,LA ESPERANZA,LA ESPERANZA,PRIMER NIVEL,CENTRO DE SALUD|CS,MSP,-79.41929141700,-0.96423610126
LOS RIOS,URDANETA,CATARAMA,PUEBLO VIEJO-URDANETA,CATARAMA,CATARAMA,PRIMER NIVEL,CENTRO DE SALUD|CS,MSP,-79.47379744440,-1.56987722423
LOS RIOS,URDANETA,CATARAMA,PUEBLO VIEJO-URDANETA,CATARAMA,LOS SAUCES,PRIMER NIVEL,CENTRO DE SALUD|CS,MSP,-79.47308270550,-1.56406139652
GUAYAS,GUAYAQUIL,GUAYAQUIL,TARQUI 1-TENGUEL,GUAYAQUIL-ATARAZANA,Interlab,SEGUNDO NIVEL,CLINICA PRIVADA|CL-P,RED COMPLEMENTARIA,-79.89534411450,-2.15287512113
LOS RIOS,URDANETA,RICAURTE,PUEBLO VIEJO-URDANETA,RICAURTE,PIJULLO,PRIMER NIVEL,CENTRO DE SALUD|CS,MSP,-79.39378775380,-1.58277649246
LOS RIOS,URDANETA,RICAURTE,PUEBLO VIEJO-URDANETA,RICAURTE,SALAMPE,PRIMER NIVEL,CENTRO DE SALUD|CS,MSP,-79.37011219400,-1.54262255428
LOS RIOS,URDANETA,RICAURTE,PUEBLO VIEJO-URDANETA,RICAURTE,SANTO DOMINGO,PRIMER NIVEL,PUESTO DE SALUD|PS,MSP,-79.34448054740,-1.52287887018
LOS RIOS,URDANETA,RICAURTE,PUEBLO VIEJO-URDANETA,RICAURTE,LA INDUSTRIA,PRIMER NIVEL,CENTRO DE SALUD|CS,MSP,-79.31389588320,-1.55228194125
LOS RIOS,URDANETA,RICAURTE,PUEBLO VIEJO-URDANETA,RICAURTE,DISPENSARIO POTOS═,PRIMER NIVEL,PUESTO DE SALUD|PS,IESS,-79.34648247000,-1.61775380900
LOS RIOS,URDANETA,RICAURTE,PUEBLO VIEJO-URDANETA,RICAURTE,JUAN MONTALVAN,SEGUNDO NIVEL,HOSPITAL BASICO|HB,MSP,-79.46725523660,-1.56954682451
LOS RIOS,VENTANAS,VENTANAS,VENTANAS-QUINSALOMA,VENTANAS,10 DE NOVIEMBRE,PRIMER NIVEL,CENTRO DE SALUD|CS,MSP,-79.45891186570,-1.43353756372
LOS RIOS,VENTANAS,VENTANAS,VENTANAS-QUINSALOMA,VENTANAS,U.A.A. VENTANAS,PRIMER NIVEL,CENTRO DE SALUD|CS,IESS,-79.46185127520,-1.44369220260
PICHINCHA,QUITO,QUITO DISTRITO METROPOLITANO,CHILIBULO-SAN BORTOLO-CHIMBACALLE-LA ARGELIA-SOLANDA-LLOA-LA MENA-LA MAGDALENA-LA FERROVIARIA,LA FERROVIARIA,UNIDAD MUNICIPAL DE SALUD SUR,SEGUNDO NIVEL,CLINICA PRIVADA|CL-P,RED COMPLEMENTARIA,-78.51688388510,-0.25736967450
LOS RIOS,VENTANAS,VENTANAS,VENTANAS-QUINSALOMA,VENTANAS,JAIME ROLDOS AGUILERA,SEGUNDO NIVEL,HOSPITAL BASICO|HB,MSP,-79.46624455770,-1.44715373472
LOS RIOS,VENTANAS,VENTANAS,VENTANAS-QUINSALOMA,VENTANAS,MALVINAS,PRIMER NIVEL,CENTRO DE SALUD|CS,MSP,-79.46329480500,-1.45046182348
CHIMBORAZO,GUANO,GUANANDO,GUANO-PENIPE,GUANO-LA PROVIDENCIA-GUANANDO-SANGERARDO DE PACAICAGUAN,GUANANDO,PRIMER NIVEL,PUESTO DE SALUD|PS,MSP,-78.54312751790,-1.54424578737
LOS RIOS,VENTANAS,ZAPOTAL,VENTANAS-QUINSALOMA,ZAPOTAL,DISPENSARIO TARIRA,PRIMER NIVEL,PUESTO DE SALUD|PS,IESS,-79.42460701230,-1.21071488812
PICHINCHA,PEDRO VICENTE MALDONADO,PEDRO VICENTE MALDONADO,SAN MIGUEL DE LOS BANCOS-PEDRO VICENTE MALDONADO-PUERTO QUITO,PEDRO VICENTE MALDONADO,PARAISO ESCONDIDO,PRIMER NIVEL,PUESTO DE SALUD|PS,MSP,-79.15115489270,0.06304481237
LOS RIOS,VENTANAS,ZAPOTAL,VENTANAS-QUINSALOMA,ZAPOTAL,AGUAS FRIAS DE MEDELLIN,PRIMER NIVEL,CENTRO DE SALUD|CS,MSP,-79.47148193500,-1.36690968711
LOS RIOS,VENTANAS,ZAPOTAL,VENTANAS-QUINSALOMA,ZAPOTAL,PASAJE (E. ORTEGA),PRIMER NIVEL,CENTRO DE SALUD|CS,MSP,-79.31459186870,-1.35282303552
LOS RIOS,VENTANAS,ZAPOTAL,VENTANAS-QUINSALOMA,ZAPOTAL,ZAPOTAL NUEVO,PRIMER NIVEL,CENTRO DE SALUD|CS,MSP,-79.41701429100,-1.35891563546
LOS RIOS,VENTANAS,ZAPOTAL,VENTANAS-QUINSALOMA,ZAPOTAL,ZAPOTAL VIEJO (C. JUMENEZ B),PRIMER NIVEL,CENTRO DE SALUD|CS,MSP,-79.40033046990,-1.35471733162
PICHINCHA,QUITO,QUITO DISTRITO METROPOLITANO,CHILIBULO-SAN BORTOLO-CHIMBACALLE-LA ARGELIA-SOLANDA-LLOA-LA MENA-LA MAGDALENA-LA FERROVIARIA,CHIMBACALLE,CLINICA BOLIVAR,SEGUNDO NIVEL,CLINICA PRIVADA|CL-P,RED COMPLEMENTARIA,-78.51376179210,-0.24485040923
LOS RIOS,VENTANAS,ZAPOTAL,VENTANAS-QUINSALOMA,ZAPOTAL,LOS ANGELES,PRIMER NIVEL,CENTRO DE SALUD|CS,MSP,-79.37680070920,-1.42815377753
LOS RIOS,VENTANAS,ZAPOTAL,VENTANAS-QUINSALOMA,ZAPOTAL,DISPENSARIO CHACARITA,PRIMER NIVEL,PUESTO DE SALUD|PS,IESS,-79.37671386360,-1.36371847760
LOS RIOS,V═NCES,VINCES,VINCES-PALENQUE,VINCES,DISPENSARIO LA FELICIDAD,PRIMER NIVEL,PUESTO DE SALUD|PS,IESS,-79.68864052420,-1.52151274679
LOS RIOS,V═NCES,VINCES,VINCES-PALENQUE,VINCES,DISPENSARIO LA BALSA,PRIMER NIVEL,PUESTO DE SALUD|PS,IESS,-79.68068249000,-1.60480132500
PICHINCHA,QUITO,QUITO DISTRITO METROPOLITANO,CHILIBULO-SAN BORTOLO-CHIMBACALLE-LA ARGELIA-SOLANDA-LLOA-LA MENA-LA MAGDALENA-LA FERROVIARIA,CHIMBACALLE,CLINICA COLONIAL,SEGUNDO NIVEL,CLINICA PRIVADA|CL-P,RED COMPLEMENTARIA,-78.50976770270,-0.23796216482
LOS RIOS,V═NCES,VINCES,VINCES-PALENQUE,VINCES,NICARAGUA,PRIMER NIVEL,CENTRO DE SALUD|CS,MSP,-79.74954440160,-1.54892313235
LOS RIOS,V═NCES,VINCES,VINCES-PALENQUE,VINCES,NICOLAS COTTO INFANTE,SEGUNDO NIVEL,HOSPITAL BASICO|HB,MSP,-79.75609980750,-1.55873190698
LOS RIOS,V═NCES,VINCES,VINCES-PALENQUE,VINCES,BALZAR DE VINCES,PRIMER NIVEL,CENTRO DE SALUD|CS,MSP,-79.75513100190,-1.55551127528
LOS RIOS,V═NCES,VINCES,VINCES-PALENQUE,VINCES,U.A.A. VINCES,PRIMER NIVEL,CENTRO DE SALUD|CS,IESS,-79.75300897860,-1.55564543246
PICHINCHA,QUITO,QUITO DISTRITO METROPOLITANO,PUELLARO-CHAVEZPAMBA-ATAHUALPA-S.J MINAS-PERUCHO-EL CONDADO-PONCEANO-SAN ANTONIO-NONO-COTOCOLLAO-POMASQUI-CALACALI-COMITE DEL PUEBLO-CARCELEN,COTOCOLLAO,CLINICA COTOCOLLAO,SEGUNDO NIVEL,CLINICA PRIVADA|CL-P,RED COMPLEMENTARIA,-78.49562551620,-0.11464578173
LOS RIOS,V═NCES,ANTONIO SOTOMAYOR (CAB. EN PLAYAS DE VINCES),VINCES-PALENQUE,ANTONIO SOTOMAYOR (CAB. PLAYAS DE VINCE,ANTONIO SOTOMAYOR,PRIMER NIVEL,CENTRO DE SALUD|CS,MSP,-79.80240049900,-1.64555719440
LOS RIOS,V═NCES,ANTONIO SOTOMAYOR (CAB. EN PLAYAS DE VINCES),VINCES-PALENQUE,ANTONIO SOTOMAYOR (CAB. PLAYAS DE VINCE,DISPENSARIO JUNQUILLO,PRIMER NIVEL,PUESTO DE SALUD|PS,IESS,-79.75396517000,-1.65840556500
LOS RIOS,V═NCES,ANTONIO SOTOMAYOR (CAB. EN PLAYAS DE VINCES),VINCES-PALENQUE,ANTONIO SOTOMAYOR (CAB. PLAYAS DE VINCE,BAGATELA,PRIMER NIVEL,CENTRO DE SALUD|CS,MSP,-79.82690088980,-1.67981746874
LOS RIOS,V═NCES,ANTONIO SOTOMAYOR (CAB. EN PLAYAS DE VINCES),VINCES-PALENQUE,ANTONIO SOTOMAYOR (CAB. PLAYAS DE VINCE,CLARISA,PRIMER NIVEL,CENTRO DE SALUD|CS,MSP,-79.75877763580,-1.72017054170
LOS RIOS,V═NCES,ANTONIO SOTOMAYOR (CAB. EN PLAYAS DE VINCES),VINCES-PALENQUE,ANTONIO SOTOMAYOR (CAB. PLAYAS DE VINCE,MATECITO,PRIMER NIVEL,PUESTO DE SALUD|PS,MSP,-79.75258139220,-1.69706534651
LOS RIOS,PALENQUE,PALENQUE,VINCES-PALENQUE,PALENQUE,JAUNECHE,PRIMER NIVEL,CENTRO DE SALUD|CS,MSP,-79.67128219920,-1.23927124091
LOS RIOS,PALENQUE,PALENQUE,VINCES-PALENQUE,PALENQUE,PALENQUE,PRIMER NIVEL,CENTRO DE SALUD|CS,MSP,-79.75190766720,-1.43839348590
LOS RIOS,PALENQUE,PALENQUE,VINCES-PALENQUE,PALENQUE,MANUEL SESMA,SEGUNDO NIVEL,HOSPITAL BASICO|HB,ONG,-79.75534918220,-1.43962551249
PICHINCHA,QUITO,QUITO DISTRITO METROPOLITANO,CONCEPCION-MARISCAL SUCRE-BELISARIO QUEVEDO-SAN ISIDRO DEL INCA-RUMIPAMBA-KENNEDY-NAYON-IÐAQUITO-COCHAPAMBA-JIPIJAPA-ZAMBIZA,CONCEPCION,CLINICA DE ESPECIALIDADES MARIA AUXILIADORA,SEGUNDO NIVEL,CLINICA PRIVADA|CL-P,RED COMPLEMENTARIA,-78.49325341880,-0.13447625533
LOS RIOS,BUENA F╔,SAN JACINTO DE BUENA F╔,BUENA FE-VALENCIA,SAN JACINTO DE BUENA FE,FUMISA,PRIMER NIVEL,CENTRO DE SALUD|CS,MSP,-79.47134162420,-0.73006426477
LOS RIOS,BUENA F╔,SAN JACINTO DE BUENA F╔,BUENA FE-VALENCIA,SAN JACINTO DE BUENA FE,BUENA FE,PRIMER NIVEL,CENTRO DE SALUD|CS,MSP,-79.48996927190,-0.89115566675
LOS RIOS,BUENA F╔,PATRICIA PILAR,BUENA FE-VALENCIA,PATRICIA PILAR,PATRICIA PILAR,PRIMER NIVEL,CENTRO DE SALUD|CS,MSP,-79.36989120180,-0.57048089906
LOS RIOS,BUENA F╔,PATRICIA PILAR,BUENA FE-VALENCIA,PATRICIA PILAR,DISPENSARIO SAN LUIS 3,PRIMER NIVEL,PUESTO DE SALUD|PS,IESS,-79.40113300000,-0.58203300000
LOS RIOS,VALENCIA,VALENCIA,BUENA FE-VALENCIA,VALENCIA,DISPENSARIO R═O CHILA,PRIMER NIVEL,PUESTO DE SALUD|PS,IESS,-79.40357428000,-0.72109492100
LOS RIOS,VALENCIA,VALENCIA,BUENA FE-VALENCIA,VALENCIA,DISPENSARIO COSTA AZUL,PRIMER NIVEL,PUESTO DE SALUD|PS,IESS,-79.33931667000,-0.88844103300
LOS RIOS,VALENCIA,VALENCIA,BUENA FE-VALENCIA,VALENCIA,NI UN PASO ATRAS,PRIMER NIVEL,PUESTO DE SALUD|PS,MSP,-79.28158586220,-0.81726218492
LOS RIOS,VALENCIA,VALENCIA,BUENA FE-VALENCIA,VALENCIA,EL VERGEL,PRIMER NIVEL,CENTRO DE SALUD|CS,MSP,-79.35286213360,-0.79701664878
PICHINCHA,QUITO,TUMBACO,TUMBACO-CUMBAYA-PIFO-YARUQUI-EL QUINCHE-PUEMBO-CHECA-TABABELA,TUMBACO,CLINICA DE ESPECIALIDADES TUMBACO,SEGUNDO NIVEL,CLINICA PRIVADA|CL-P,RED COMPLEMENTARIA,-78.40390420890,-0.21522106319
LOS RIOS,VALENCIA,VALENCIA,BUENA FE-VALENCIA,VALENCIA,FEDERICO INTRIAGO,PRIMER NIVEL,PUESTO DE SALUD|PS,MSP,-79.43795758090,-0.80126449144
LOS RIOS,VALENCIA,VALENCIA,BUENA FE-VALENCIA,VALENCIA,SEGUNDA BANQUERA,PRIMER NIVEL,CENTRO DE SALUD|CS,MSP,-79.25004525810,-0.79502970143
LOS RIOS,VALENCIA,VALENCIA,BUENA FE-VALENCIA,VALENCIA,NUEVA UNION,PRIMER NIVEL,CENTRO DE SALUD|CS,MSP,-79.32731021610,-0.94410644133
LOS RIOS,VALENCIA,VALENCIA,BUENA FE-VALENCIA,VALENCIA,VALENCIA,PRIMER NIVEL,CENTRO DE SALUD|CS,MSP,-79.34750245420,-0.95282505558
PICHINCHA,QUITO,QUITO DISTRITO METROPOLITANO,CONCEPCION-MARISCAL SUCRE-BELISARIO QUEVEDO-SAN ISIDRO DEL INCA-RUMIPAMBA-KENNEDY-NAYON-IÐAQUITO-COCHAPAMBA-JIPIJAPA-ZAMBIZA,JIPIJAPA,CLINICA DEL BATAN DEL POZO S.A.,SEGUNDO NIVEL,CLINICA PRIVADA|CL-P,RED COMPLEMENTARIA,-78.47575163580,-0.16549448521
LOS RIOS,MOCACHE,MOCACHE,QUEVEDO-MOCACHE,MOCACHE,MOCACHE,PRIMER NIVEL,CENTRO DE SALUD|CS,MSP,-79.51010072900,-1.18600504844
LOS RIOS,QUINSALOMA,QUINSALOMA,VENTANAS-QUINSALOMA,QUINSALOMA,DISPENSARIO EL PARA═SO 2,PRIMER NIVEL,PUESTO DE SALUD|PS,IESS,-79.33623624000,-1.19996800200
LOS RIOS,QUINSALOMA,QUINSALOMA,VENTANAS-QUINSALOMA,QUINSALOMA,ORO VERDE,PRIMER NIVEL,CENTRO DE SALUD|CS,MSP,-79.32974095490,-1.09147010672
LOS RIOS,QUINSALOMA,QUINSALOMA,VENTANAS-QUINSALOMA,QUINSALOMA,QUINSALOMA,PRIMER NIVEL,CENTRO DE SALUD|CS,MSP,-79.31514449250,-1.20833806800
PICHINCHA,QUITO,QUITO DISTRITO METROPOLITANO,CONCEPCION-MARISCAL SUCRE-BELISARIO QUEVEDO-SAN ISIDRO DEL INCA-RUMIPAMBA-KENNEDY-NAYON-IÐAQUITO-COCHAPAMBA-JIPIJAPA-ZAMBIZA,CONCEPCION,NORTH HOSPITAL,SEGUNDO NIVEL,HOSPITAL PRIVADO|HP,RED COMPLEMENTARIA,-78.49365785800,-0.13025527089
MANABI,PORTOVIEJO,PORTOVIEJO,PORTOVIEJO,PORTOVIEJO,DISPENSARIO MILAGRO 1,PRIMER NIVEL,PUESTO DE SALUD|PS,IESS,-80.45061831740,-0.98642513395
MANABI,PORTOVIEJO,PORTOVIEJO,PORTOVIEJO,PORTOVIEJO,PACHINCHE ADENTRO,PRIMER NIVEL,PUESTO DE SALUD|PS,MSP,-80.35345232550,-1.13835807468
MANABI,PORTOVIEJO,PORTOVIEJO,PORTOVIEJO,PORTOVIEJO,DISPENSARIO PACHINCHE,PRIMER NIVEL,PUESTO DE SALUD|PS,IESS,-80.37900123590,-1.14828359176
MANABI,PORTOVIEJO,PORTOVIEJO,PORTOVIEJO,PORTOVIEJO,ESTANCIA VIEJA,PRIMER NIVEL,CENTRO DE SALUD|CS,MSP,-80.40386634130,-1.13617063876
MANABI,PORTOVIEJO,PORTOVIEJO,PORTOVIEJO,PORTOVIEJO,LOS ANGELES DE COLON,PRIMER NIVEL,CENTRO DE SALUD|CS,MSP,-80.41146901680,-1.09695433358
MANABI,PORTOVIEJO,PORTOVIEJO,PORTOVIEJO,PORTOVIEJO,COLON,PRIMER NIVEL,CENTRO DE SALUD|CS,MSP,-80.41381228760,-1.11009980222
MANABI,PORTOVIEJO,PORTOVIEJO,PORTOVIEJO,PORTOVIEJO,DISPENSARIO EL CADI,PRIMER NIVEL,PUESTO DE SALUD|PS,IESS,-80.40475849730,-1.12371991138
CHIMBORAZO,COLTA,COLUMBE,COLTA-GUAMOTE,COLUMBE,DISPENSARIO PULUCATE,PRIMER NIVEL,PUESTO DE SALUD|PS,IESS,-78.69409460420,-1.84539638747
MANABI,PORTOVIEJO,PORTOVIEJO,PORTOVIEJO,PORTOVIEJO,EL PROGRESO,PRIMER NIVEL,CENTRO DE SALUD|CS,MSP,-80.44091194020,-1.05604112092
MANABI,PORTOVIEJO,PORTOVIEJO,PORTOVIEJO,PORTOVIEJO,NUEVO PORTOVIEJO,PRIMER NIVEL,CENTRO DE SALUD|CS,MSP,-80.43302674400,-1.07177213249
MANABI,PORTOVIEJO,PORTOVIEJO,PORTOVIEJO,PORTOVIEJO,PORTOVIEJO,PRIMER NIVEL,CENTRO DE SALUD|CS,MSP,-80.44411102220,-1.05934380022
MANABI,PORTOVIEJO,PORTOVIEJO,PORTOVIEJO,PORTOVIEJO,DR. VERDI CEVALLOS,SEGUNDO NIVEL,HOSPITAL GENERAL|HG,MSP,-80.44445255070,-1.05939814300
BOLIVAR,CHIMBO,MAGDALENA (CHAPACOTO),CHIMBO-SAN MIGUEL,MAGDALENA (CHAPACOTO)-ASUNCION (ASANCOTO),MAGDALENA (CHAPOCOTO),PRIMER NIVEL,CENTRO DE SALUD|CS,MSP,-79.06632113230,-1.66364774914
MANABI,PORTOVIEJO,PORTOVIEJO,PORTOVIEJO,PORTOVIEJO,FATIMA,PRIMER NIVEL,CENTRO DE SALUD|CS,MSP,-80.43770222830,-1.06190289333
PICHINCHA,QUITO,QUITO DISTRITO METROPOLITANO,"PUENGASI, CENTRO HISTORICO, SAN JUAN, LA LIBERTAD, ITCHIMBIA",CENTRO HISTORICO,CLINICA LA MERCED,SEGUNDO NIVEL,CLINICA PRIVADA|CL-P,RED COMPLEMENTARIA,-78.51310206910,-0.21804140091
